ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
RLX,RLX Technology Inc.,2024-12-26 to 2025-01-17,3,0.5008926630020142,0.47801237884415876,0.5505262970924377,0.5008926630020142,0.3333333333333333,0.0,2025-01-17 03:08:25
LVO,LiveOne Inc.,2024-12-20 to 2025-01-16,9,0.4556553800900778,0.38453664372880414,0.4640189826488495,0.5700688898563385,0.5555555555555556,0.0,2025-01-16 13:05:03
ARCO,Arcos Dorados Holdings Inc.,2024-12-20 to 2025-01-17,12,0.42029378116130833,0.37819226782838605,0.3150990804036458,0.4093468633565036,0.5833333333333334,0.0,2025-01-17 09:25:04
IDYA,IDEAYA Biosciences Inc.,2024-12-27 to 2025-01-12,5,0.4030985021591187,0.4236043819875847,,0.4030985021591187,0.4,0.0,2025-01-12 13:01:10
RCKT,Rocket Pharmaceuticals Inc.,2024-12-29 to 2025-01-02,4,0.4010549396276474,0.4647664845699009,,0.4010549396276474,0.5,0.0,2025-01-02 22:00:00
TNC,Tennant Company,2024-12-20 to 2025-01-17,2,0.36583676338195803,0.5173713123894419,0.0,0.0,0.5,0.0,2025-01-17 13:13:04
HBM,Hudbay Minerals Inc.,2025-01-02 to 2025-01-18,13,0.3110934555530548,0.3125187955140974,0.3143507331609726,0.3110934555530548,0.38461538461538464,0.0,2025-01-18 04:54:32
HQY,HealthEquity Inc.,2024-12-23 to 2025-01-13,11,0.304326483336362,0.38935776683929085,0.15955287218093872,0.304326483336362,0.36363636363636365,0.18181818181818182,2025-01-13 13:54:04
MA,Mastercard Incorporated,2024-12-20 to 2025-01-16,97,0.29005330235687726,0.4773981593728881,0.14737645308176678,0.2954271203728132,0.32989690721649484,0.08247422680412371,2025-01-16 14:05:33
SHOP,Shopify Inc.,2024-12-20 to 2025-01-19,46,0.27801190472167475,0.3825356929219803,0.26360353901982303,0.271561043659846,0.2608695652173913,0.08695652173913043,2025-01-19 07:57:18
