ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
LVO,LiveOne Inc.,2024-12-23 to 2025-01-16,7,0.5972540787288121,0.1821396093062701,0.4640189826488495,0.5972540787288121,0.5714285714285714,0.0,2025-01-16 13:05:03
RLX,RLX Technology Inc.,2024-12-26 to 2025-01-17,3,0.5008926630020142,0.4780123788441587,0.5505262970924377,0.5008926630020142,0.3333333333333333,0.0,2025-01-17 03:08:25
ARCO,Arcos Dorados Holdings Inc.,2024-12-26 to 2025-01-17,11,0.4093468633565036,0.394652389407797,0.3150990804036458,0.4093468633565036,0.6363636363636364,0.0,2025-01-17 09:25:04
IDYA,IDEAYA Biosciences Inc.,2024-12-27 to 2025-01-12,5,0.4030985021591187,0.4236043819875847,,0.4030985021591187,0.4,0.0,2025-01-12 13:01:10
RCKT,Rocket Pharmaceuticals Inc.,2024-12-29 to 2025-01-02,4,0.4010549396276474,0.4647664845699009,,0.4010549396276474,0.5,0.0,2025-01-02 22:00:00
G,Assicurazioni Generali S.p.A.,2024-12-23 to 2025-01-13,9,0.3550002204047309,0.4376894817471454,,0.3550002204047309,0.3333333333333333,0.0,2025-01-13 17:06:13
HBM,Hudbay Minerals Inc.,2025-01-02 to 2025-01-18,13,0.3110934555530548,0.3125187955140974,0.3720648288726806,0.3110934555530548,0.3846153846153846,0.0,2025-01-18 04:54:32
HQY,HealthEquity Inc.,2024-12-23 to 2025-01-13,11,0.304326483336362,0.3893577668392908,,0.304326483336362,0.3636363636363636,0.1818181818181818,2025-01-13 13:54:04
MA,Mastercard Incorporated,2024-12-21 to 2025-01-16,92,0.2894201619469601,0.4824190721260276,0.0582866659531226,0.2926006032870366,0.3260869565217391,0.0869565217391304,2025-01-16 14:05:33
DDOG,Datadog Inc.,2024-12-22 to 2025-01-20,29,0.2774817614719785,0.394831112308587,-0.0113712459802627,0.2774817614719785,0.3793103448275862,0.0,2025-01-20 09:40:40
