ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
IMCR,Immunocore Holdings plc,2025-06-24 to 2025-07-01,5,0.5374567151069642,0.2022108849591169,,0.4553146183490754,0.4,0.0,2025-07-01 16:50:00
TX,Ternium S.A.,2025-07-02 to 2025-07-09,2,0.4487732708454132,0.6346612460601176,,0.4487732708454132,0.5,0.0,2025-07-09 06:46:51
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,2025-06-29 to 2025-07-17,4,0.4449912816286087,0.3418000055965529,,0.4449912816286087,0.75,0.0,2025-07-17 16:38:29
LVO,LiveOne Inc.,2025-06-26 to 2025-07-16,14,0.4218857169151306,0.35837646215981533,,0.4218857169151306,0.35714285714285715,0.07142857142857142,2025-07-16 13:30:00
GPCR,Structure Therapeutics Inc.,2025-06-24 to 2025-07-03,2,0.36660050153732304,0.01625555056720908,,0.36660050153732304,0.5,0.0,2025-07-03 17:09:10
CRNX,CRINETICS PHARMACEUTICALS INC.,2025-06-26 to 2025-07-16,9,0.36613003677792016,0.37939840987220624,,0.36613003677792016,0.2222222222222222,0.0,2025-07-16 15:38:45
BIIB,Biogen Inc.,2025-06-24 to 2025-07-23,57,0.3553063058016593,0.4740067826794848,0.2937664798327854,0.3496784550803048,0.45614035087719296,0.05263157894736842,2025-07-23 16:41:00
IMVT,Immunovant Inc.,2025-07-06 to 2025-07-16,4,0.3364130645990372,0.3969623112424579,,0.3364130645990372,0.25,0.0,2025-07-16 18:00:02
CVE,Cenovus Energy Inc.,2025-06-25 to 2025-07-03,5,0.31927161693573,0.23784711754724344,,0.31927161693573,0.0,0.2,2025-07-03 12:56:13
SNDX,Syndax Pharmaceuticals Inc.,2025-06-24 to 2025-07-09,10,0.31637060046195986,0.32293615393117864,,0.31588867108027135,0.5,0.0,2025-07-09 06:55:02
CLS,CELESTICA INC.,2025-06-24 to 2025-07-21,35,0.3071440316949572,0.30525453965535077,0.0,0.3161776796859853,0.22857142857142856,0.0,2025-07-21 10:30:00
MRVL,Marvell Technology Inc.,2025-06-24 to 2025-07-24,87,0.3049250216319643,0.43957508670903617,0.2527872125307719,0.2920271245444693,0.3448275862068966,0.08045977011494253,2025-07-24 16:01:00
CDE,Coeur Mining Inc.,2025-06-24 to 2025-07-23,32,0.2993511980399489,0.5342556901263392,0.5420867055654526,0.2993511980399489,0.46875,0.15625,2025-07-23 18:20:01
HQY,HealthEquity Inc.,2025-06-26 to 2025-07-23,12,0.2698951691389084,0.39392406725079393,0.18985939025878906,0.2698951691389084,0.3333333333333333,0.08333333333333333,2025-07-23 09:13:00
SMCI,Super Micro Computer Inc.,2025-06-24 to 2025-07-24,202,0.2627514914710923,0.48518548467579703,0.2298676393248818,0.26768569569838674,0.2871287128712871,0.1188118811881188,2025-07-24 13:38:12
TWLO,Twilio Inc.,2025-06-24 to 2025-07-24,44,0.24895772012797268,0.38641151305362287,0.45799237887064614,0.23533271891730173,0.20454545454545456,0.11363636363636363,2025-07-24 00:00:04
CG,Centerra Gold Inc.,2025-06-24 to 2025-07-23,34,0.24460207048584437,0.45989518908635646,0.29566683428628104,0.22562094421097728,0.29411764705882354,0.058823529411764705,2025-07-23 22:00:00
CRM,Salesforce Inc.,2025-06-24 to 2025-07-24,213,0.23415834537134483,0.45534832114599394,0.2080440218108041,0.22267588836636706,0.3286384976525822,0.09389671361502347,2025-07-24 15:30:00
AXON,Axon Enterprise Inc.,2025-06-24 to 2025-07-24,47,0.2313940809128132,0.5334359703802494,0.22870777149995167,0.25467960393947103,0.2978723404255319,0.0851063829787234,2025-07-24 15:00:04
DAR,DARLING INGREDIENTS INC.,2025-06-25 to 2025-07-24,21,0.22364520288649056,0.41095478986502065,-0.09012373924255371,0.22364520288649056,0.19047619047619047,0.14285714285714285,2025-07-24 14:18:56
SNPS,SYNOPSYS INC.,2025-06-24 to 2025-07-24,133,0.2182618527035964,0.46691216884326686,0.3339981641088213,0.22853963015643694,0.2857142857142857,0.18796992481203006,2025-07-24 15:00:03
MANH,MANHATTAN ASSOCIATES INC.,2025-06-26 to 2025-07-24,27,0.21429923331296002,0.48335241916730126,0.35819011435789216,0.21429923331296002,0.2962962962962963,0.07407407407407407,2025-07-24 09:15:02
TCOM,Trip.com Group Limited,2025-06-24 to 2025-07-16,17,0.2042053033323849,0.29885206002995307,,0.21696813479065896,0.23529411764705882,0.11764705882352941,2025-07-16 00:15:03
PFGC,Performance Food Group Company,2025-06-24 to 2025-07-23,23,0.2016791177832562,0.5807466128909793,0.0,0.22744773734699597,0.34782608695652173,0.17391304347826086,2025-07-23 18:00:02
DVN,Devon Energy Corporation,2025-06-24 to 2025-07-22,44,0.18705063191327184,0.5629732412890155,0.23351191547181868,0.14714505294474162,0.2727272727272727,0.20454545454545456,2025-07-22 23:50:02
WDAY,Workday Inc.,2025-06-24 to 2025-07-24,63,0.18687925300900898,0.5462791090064156,0.4011566118760543,0.1450042392078199,0.25396825396825395,0.1746031746031746,2025-07-24 13:38:12
