date,corporate_profits
1970-01-01,55.323
1970-04-01,55.194
1970-07-01,56.132
1970-10-01,53.35
1971-01-01,60.152
1971-04-01,62.42
1971-07-01,66.544
1971-10-01,68.735
1972-01-01,72.785
1972-04-01,73.825
1972-07-01,77.004
1972-10-01,83.484
1973-01-01,95.547
1973-04-01,99.033
1973-07-01,101.161
1973-10-01,106.253
1974-01-01,112.656
1974-04-01,115.543
1974-07-01,121.06
1974-10-01,107.908
1975-01-01,94.707
1975-04-01,99.406
1975-07-01,115.831
1975-10-01,124.091
1976-01-01,132.702
1976-04-01,136.551
1976-07-01,138.84
1976-10-01,139.091
1977-01-01,149.831
1977-04-01,158.751
1977-07-01,165.143
1977-10-01,166.231
1978-01-01,171.939
1978-04-01,190.742
1978-07-01,197.659
1978-10-01,209.891
1979-01-01,212.834
1979-04-01,221.197
1979-07-01,226.008
1979-10-01,222.524
1980-01-01,223.179
1980-04-01,194.437
1980-07-01,201.722
1980-10-01,208.021
1981-01-01,211.951
1981-04-01,200.097
1981-07-01,205.12
1981-10-01,201.675
1982-01-01,181.46
1982-04-01,183.28
1982-07-01,178.589
1982-10-01,172.4
1983-01-01,173.982
1983-04-01,193.299
1983-07-01,204.717
1983-10-01,210.419
1984-01-01,219.241
1984-04-01,220.406
1984-07-01,211.838
1984-10-01,213.115
1985-01-01,203.842
1985-04-01,204.591
1985-07-01,208.314
1985-10-01,209.769
1986-01-01,174.669
1986-04-01,171.227
1986-07-01,170.904
1986-10-01,177.255
1987-01-01,191.686
1987-04-01,220.614
1987-07-01,235.711
1987-10-01,243.661
1988-01-01,252.224
1988-04-01,266.622
1988-07-01,265.879
1988-10-01,278.787
1989-01-01,278.613
1989-04-01,273.165
1989-07-01,262.833
1989-10-01,263.0
1990-01-01,272.8
1990-04-01,285.023
1990-07-01,289.176
1990-10-01,288.348
1991-01-01,299.498
1991-04-01,304.593
1991-07-01,310.435
1991-10-01,316.101
1992-01-01,329.803
1992-04-01,344.556
1992-07-01,328.651
1992-10-01,336.054
1993-01-01,334.638
1993-04-01,349.005
1993-07-01,362.106
1993-10-01,382.444
1994-01-01,413.269
1994-04-01,427.525
1994-07-01,449.48
1994-10-01,463.129
1995-01-01,477.546
1995-04-01,501.314
1995-07-01,509.306
1995-10-01,516.952
1996-01-01,537.204
1996-04-01,540.29
1996-07-01,537.278
1996-10-01,550.942
1997-01-01,564.382
1997-04-01,584.518
1997-07-01,608.221
1997-10-01,611.944
1998-01-01,539.192
1998-04-01,538.408
1998-07-01,535.273
1998-10-01,519.082
1999-01-01,552.462
1999-04-01,568.577
1999-07-01,569.275
1999-10-01,590.992
2000-01-01,565.043
2000-04-01,559.322
2000-07-01,554.17
2000-10-01,533.362
2001-01-01,562.885
2001-04-01,581.778
2001-07-01,532.108
2001-10-01,512.713
2002-01-01,558.468
2002-04-01,614.559
2002-07-01,669.481
2002-10-01,742.298
2003-01-01,739.46
2003-04-01,742.624
2003-07-01,785.034
2003-10-01,840.165
2004-01-01,954.777
2004-04-01,997.169
2004-07-01,1042.501
2004-10-01,1045.719
2005-01-01,1266.416
2005-04-01,1292.727
2005-07-01,1339.203
2005-10-01,1407.538
2006-01-01,1433.381
2006-04-01,1472.804
2006-07-01,1495.335
2006-10-01,1452.347
2007-01-01,1384.4
2007-04-01,1462.488
2007-07-01,1409.668
2007-10-01,1432.95
2008-01-01,1325.635
2008-04-01,1348.013
2008-07-01,1284.391
2008-10-01,773.27
2009-01-01,1125.916
2009-04-01,1199.363
2009-07-01,1382.393
2009-10-01,1499.252
2010-01-01,1570.962
2010-04-01,1560.78
2010-07-01,1646.527
2010-10-01,1647.5
2011-01-01,1513.837
2011-04-01,1580.148
2011-07-01,1592.155
2011-10-01,1671.585
2012-01-01,1936.487
2012-04-01,1860.118
2012-07-01,1878.552
2012-10-01,1847.96
2013-01-01,1831.269
2013-04-01,1823.848
2013-07-01,1862.618
2013-10-01,1913.254
2014-01-01,1848.159
2014-04-01,1952.58
2014-07-01,2011.03
2014-10-01,1977.683
2015-01-01,1877.034
2015-04-01,1898.93
2015-07-01,1842.986
2015-10-01,1746.728
2016-01-01,1805.898
2016-04-01,1865.417
2016-07-01,1857.546
2016-10-01,1926.839
2017-01-01,2045.666
2017-04-01,2019.85
2017-07-01,2061.502
2017-10-01,1864.83
2018-01-01,1986.985
2018-04-01,2063.283
2018-07-01,2014.346
2018-10-01,2015.959
2019-01-01,2045.14
2019-04-01,2059.292
2019-07-01,2087.795
2019-10-01,2120.925
2020-01-01,2023.162
2020-04-01,1871.838
2020-07-01,2553.784
2020-10-01,2398.03
2021-01-01,2716.546
2021-04-01,2996.334
2021-07-01,2952.754
2021-10-01,2886.711
2022-01-01,2898.216
2022-04-01,3084.126
2022-07-01,2985.393
2022-10-01,2834.572
2023-01-01,2931.223
2023-04-01,2989.192
2023-07-01,3114.986
2023-10-01,3239.649
2024-01-01,3314.945
2024-04-01,3413.018
2024-07-01,3402.982
