date,retail_sales
1992-01-01,164095.0
1992-02-01,164213.0
1992-03-01,163721.0
1992-04-01,164709.0
1992-05-01,165612.0
1992-06-01,166077.0
1992-07-01,167257.0
1992-08-01,167800.0
1992-09-01,169400.0
1992-10-01,170625.0
1992-11-01,171003.0
1992-12-01,173105.0
1993-01-01,175108.0
1993-02-01,173744.0
1993-03-01,172306.0
1993-04-01,176749.0
1993-05-01,178426.0
1993-06-01,178157.0
1993-07-01,180743.0
1993-08-01,180707.0
1993-09-01,181773.0
1993-10-01,182884.0
1993-11-01,184747.0
1993-12-01,186399.0
1994-01-01,185142.0
1994-02-01,188074.0
1994-03-01,191579.0
1994-04-01,191639.0
1994-05-01,190929.0
1994-06-01,193130.0
1994-07-01,193743.0
1994-08-01,196163.0
1994-09-01,197765.0
1994-10-01,199571.0
1994-11-01,199731.0
1994-12-01,200702.0
1995-01-01,201573.0
1995-02-01,198399.0
1995-03-01,200247.0
1995-04-01,201032.0
1995-05-01,202986.0
1995-06-01,205500.0
1995-07-01,204920.0
1995-08-01,206521.0
1995-09-01,207006.0
1995-10-01,206176.0
1995-11-01,208664.0
1995-12-01,210399.0
1996-01-01,208699.0
1996-02-01,212008.0
1996-03-01,213891.0
1996-04-01,214676.0
1996-05-01,216299.0
1996-06-01,216068.0
1996-07-01,216332.0
1996-08-01,216358.0
1996-09-01,219256.0
1996-10-01,221060.0
1996-11-01,220963.0
1996-12-01,221991.0
1997-01-01,223481.0
1997-02-01,225422.0
1997-03-01,226161.0
1997-04-01,224615.0
1997-05-01,222929.0
1997-06-01,226057.0
1997-07-01,228703.0
1997-08-01,229309.0
1997-09-01,230312.0
1997-10-01,229836.0
1997-11-01,230440.0
1997-12-01,231181.0
1998-01-01,231587.0
1998-02-01,231684.0
1998-03-01,233083.0
1998-04-01,235986.0
1998-05-01,237075.0
1998-06-01,238971.0
1998-07-01,237411.0
1998-08-01,236379.0
1998-09-01,238550.0
1998-10-01,242549.0
1998-11-01,244291.0
1998-12-01,246530.0
1999-01-01,246868.0
1999-02-01,249520.0
1999-03-01,250667.0
1999-04-01,252477.0
1999-05-01,254735.0
1999-06-01,255449.0
1999-07-01,257456.0
1999-08-01,260230.0
1999-09-01,261317.0
1999-10-01,261818.0
1999-11-01,264965.0
1999-12-01,269863.0
2000-01-01,268044.0
2000-02-01,272020.0
2000-03-01,275192.0
2000-04-01,271046.0
2000-05-01,271394.0
2000-06-01,273422.0
2000-07-01,272630.0
2000-08-01,272918.0
2000-09-01,277548.0
2000-10-01,276927.0
2000-11-01,276029.0
2000-12-01,275791.0
2001-01-01,278834.0
2001-02-01,278773.0
2001-03-01,276450.0
2001-04-01,280808.0
2001-05-01,281496.0
2001-06-01,280401.0
2001-07-01,279504.0
2001-08-01,281413.0
2001-09-01,276084.0
2001-10-01,294540.0
2001-11-01,287111.0
2001-12-01,283705.0
2002-01-01,283508.0
2002-02-01,285054.0
2002-03-01,284262.0
2002-04-01,288833.0
2002-05-01,284951.0
2002-06-01,287372.0
2002-07-01,290385.0
2002-08-01,292650.0
2002-09-01,288410.0
2002-10-01,289576.0
2002-11-01,291484.0
2002-12-01,293947.0
2003-01-01,295248.0
2003-02-01,291167.0
2003-03-01,296325.0
2003-04-01,295600.0
2003-05-01,296410.0
2003-06-01,299626.0
2003-07-01,302747.0
2003-08-01,307809.0
2003-09-01,305933.0
2003-10-01,304809.0
2003-11-01,308527.0
2003-12-01,307407.0
2004-01-01,309254.0
2004-02-01,311393.0
2004-03-01,316912.0
2004-04-01,313512.0
2004-05-01,318964.0
2004-06-01,314958.0
2004-07-01,318549.0
2004-08-01,318977.0
2004-09-01,324569.0
2004-10-01,326740.0
2004-11-01,327836.0
2004-12-01,331874.0
2005-01-01,328696.0
2005-02-01,333026.0
2005-03-01,333581.0
2005-04-01,336583.0
2005-05-01,334522.0
2005-06-01,343998.0
2005-07-01,346576.0
2005-08-01,343307.0
2005-09-01,343956.0
2005-10-01,344097.0
2005-11-01,347325.0
2005-12-01,347405.0
2006-01-01,357331.0
2006-02-01,354706.0
2006-03-01,355665.0
2006-04-01,357423.0
2006-05-01,356704.0
2006-06-01,357879.0
2006-07-01,359006.0
2006-08-01,360691.0
2006-09-01,358961.0
2006-10-01,358462.0
2006-11-01,359266.0
2006-12-01,363730.0
2007-01-01,363616.0
2007-02-01,364006.0
2007-03-01,367158.0
