ticker,company,current_price,target_median,target_mean,target_low,target_high,num_analysts,recommendation,week_return,volume,avg_volume,market_cap,beta,timestamp,potential_return
AAPL,Apple Inc.,243.75,257.5,252.22575,197.0,325.0,40,buy,,12906529,50559971,3661637091328,1.24,2025-02-14 16:42:39,5.641025641025641
AMZN,Amazon.com Inc.,227.66,270.0,266.45642,207.0,306.0,64,strong_buy,,8487499,36551826,2412672450560,1.146,2025-02-14 16:42:39,18.597909162786614
GOOGL,Alphabet Inc.,184.9525,220.0,217.72063,151.0,240.0,48,buy,,5892356,28917791,2264077434880,1.034,2025-02-14 16:42:39,18.949459996485594
JNJ,Johnson & Johnson,156.6,166.0,168.64,150.0,190.0,21,buy,,1087505,8747073,377033326592,0.518,2025-02-14 16:42:39,6.002554278416351
JPM,JPMorgan Chase & Co.,278.105,273.0,266.97668,180.51,330.0,21,buy,,1355887,8941028,778026549248,1.091,2025-02-14 16:42:39,-1.83563761888496
META,Meta Platforms Inc.,730.58,772.5,759.80383,505.0,935.0,60,strong_buy,,4472518,13735661,1851041251328,1.215,2025-02-14 16:42:39,5.73790686851542
MSFT,Microsoft Corporation,406.86,500.0,508.051,420.0,650.0,50,strong_buy,,7850748,21796441,3024588898304,0.904,2025-02-14 16:42:39,22.892395418571496
NVDA,NVIDIA Corporation,137.345,175.0,172.08,120.0,220.0,54,strong_buy,,66320887,245162391,3363579101184,1.657,2025-02-14 16:42:39,27.41636026065747
TSLA,Tesla Inc.,351.225,359.0,343.57977,135.0,550.0,42,hold,,26856896,82621266,1129722281984,2.295,2025-02-14 16:42:40,2.2136806890170053
V,Visa Inc.,355.115,385.0,371.72833,289.0,400.0,36,buy,,2166048,6032266,685020413952,0.952,2025-02-14 16:42:39,8.415583684158651
