ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update,current_price,target_median,target_mean,target_low,target_high,num_analysts,recommendation,week_return,volume,avg_volume,market_cap,beta,timestamp,potential_return,data_version
AAPL,Apple Inc.,2025-01-29 to 2025-02-14,245,0.0005124900778945,0.5165843193009493,0.0946296820375654,0.0005124900778945,0.1755102040816326,0.236734693877551,2025-02-14 10:50:00,243.595,257.5,252.22575,197.0,325.0,40,buy,7.0041764778035365,13481736,50559971,3659308466176,1.24,2025-02-14 16:50:39,5.708245243128965,20250214_165039
AMZN,Amazon.com Inc.,2025-01-30 to 2025-02-14,248,-0.0665303128380929,0.5175115222283779,0.0173867038126741,-0.0665303128380929,0.1774193548387097,0.2338709677419354,2025-02-14 10:50:00,227.8396,270.0,266.45642,207.0,306.0,64,strong_buy,-2.2734836553786053,8942499,36551826,2414575616000,1.146,2025-02-14 16:50:39,18.50442153163893,20250214_165039
GOOGL,Alphabet Inc.,2025-01-29 to 2025-02-14,245,-0.0967220601500297,0.4843835332208409,0.003470705314116,-0.0967220601500297,0.1428571428571428,0.2408163265306122,2025-02-14 10:50:00,185.27,220.0,217.72063,151.0,240.0,48,buy,-0.6435335123003982,6128705,28917791,2267964243968,1.034,2025-02-14 16:50:39,18.745614508555075,20250214_165039
JNJ,Johnson & Johnson,2025-01-15 to 2025-02-13,98,0.1646311135924592,0.4919717624414944,0.1550845973631914,0.151213776808913,0.2448979591836734,0.1326530612244898,2025-02-13 23:40:26,156.77,166.0,168.64,150.0,190.0,21,buy,1.6402999800262608,1199814,8747073,377442598912,0.518,2025-02-14 16:50:39,5.887606047075327,20250214_165039
JPM,JPMorgan Chase & Co.,2025-01-15 to 2025-02-14,166,0.1393106295401791,0.4674225255801302,0.0129715538024902,0.1156508190425362,0.2289156626506024,0.1265060240963855,2025-02-14 10:00:00,278.325,273.0,266.97668,180.51,330.0,21,buy,2.6877964257818965,1469784,8941028,778642063360,1.091,2025-02-14 16:50:39,-1.913230935057932,20250214_165039
META,Meta Platforms Inc.,2020-07-22 to 2025-02-14,249,0.0485981710225224,0.469891683838643,-0.011482159266105,0.0487941313895486,0.1566265060240964,0.1485943775100401,2025-02-14 10:00:00,730.67,772.5,759.80383,505.0,935.0,60,strong_buy,1.8504269483052391,4647082,13735661,1851269185536,1.215,2025-02-14 16:50:39,5.724882641958756,20250214_165039
MSFT,Microsoft Corporation,2025-01-08 to 2025-02-14,250,-0.0104985292434692,0.4822464480624924,0.0276617194215456,-0.0069875186226932,0.176,0.18,2025-02-14 10:50:00,406.97,500.0,508.051,420.0,650.0,50,strong_buy,-1.2735917676127362,8157138,21796441,3025406787584,0.904,2025-02-14 16:50:39,22.85917880924883,20250214_165039
NVDA,NVIDIA Corporation,2025-02-03 to 2025-02-14,249,-0.0186058232343819,0.5549712665408414,-0.0145133153251979,-0.0186058232343819,0.2128514056224899,0.253012048192771,2025-02-14 10:50:00,137.67,175.0,172.08,120.0,220.0,54,strong_buy,3.069544523400758,70092210,245162391,3371538317312,1.657,2025-02-14 16:50:39,27.11556620905064,20250214_165039
TSLA,Tesla Inc.,2025-01-29 to 2025-02-14,250,-0.1513953833818435,0.5486050984620253,-0.2268928588926792,-0.1513953833818435,0.14,0.316,2025-02-14 10:50:00,351.8399,359.0,343.57977,135.0,550.0,42,hold,0.3164524745706387,28197791,82621266,1131700027392,2.295,2025-02-14 16:50:39,2.0350449167362767,20250214_165039
V,Visa Inc.,2025-01-15 to 2025-02-14,85,0.1912873850149266,0.4305932682510149,0.0814572834968566,0.1744385224122267,0.2235294117647059,0.0941176470588235,2025-02-14 10:00:00,354.9155,385.0,371.72833,289.0,400.0,36,buy,1.2193366413189022,2232049,6032266,684635586560,0.952,2025-02-14 16:50:39,8.476524693906011,20250214_165039
