ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
TEAD,Teads Holding Co.,2025-07-10 to 2025-07-10,1,0.8051039218902588,,,0.8051039218902588,1.0,0.0,2025-07-10 19:27:51
TBLA,Taboola.com Ltd.,2025-07-03 to 2025-07-16,6,0.6451277216275534,0.3523112396558147,,0.6451277216275534,0.6666666666666666,0.0,2025-07-16 08:30:06
HRTG,Heritage Insurance Holdings Inc.,2025-06-27 to 2025-07-24,21,0.5693255322320121,0.321366698254932,0.42643963098526005,0.5693255322320121,0.5238095238095238,0.0,2025-07-24 22:15:00
IMXI,International Money Express Inc.,2025-07-08 to 2025-07-23,5,0.5602273035049439,0.34374852760714286,0.0,0.5602273035049439,0.6,0.0,2025-07-23 14:06:07
TX,Ternium S.A.,2025-07-02 to 2025-07-09,2,0.44877333045005796,0.6346613303538147,,0.44877333045005796,0.5,0.0,2025-07-09 06:46:51
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,2025-06-29 to 2025-07-17,4,0.44499099254608154,0.34179966999935774,,0.44499099254608154,0.75,0.0,2025-07-17 16:38:29
DDI,DoubleDown Interactive Co. Ltd.,2025-07-02 to 2025-07-14,6,0.42876896858215335,0.37181326995959985,,0.42876896858215335,0.5,0.0,2025-07-14 22:15:00
LVO,LiveOne Inc.,2025-07-03 to 2025-07-16,13,0.4253150655673101,0.3727707713828437,,0.4253150655673101,0.3076923076923077,0.07692307692307693,2025-07-16 13:30:00
DDL,Dingdong (Cayman) Limited,2025-07-08 to 2025-07-08,1,0.4154229283332825,,,0.4154229283332825,0.0,0.0,2025-07-08 20:05:25
CRNX,CRINETICS PHARMACEUTICALS INC.,2025-06-30 to 2025-07-16,8,0.41189604848623274,0.3781037099136519,,0.41189604848623274,0.25,0.0,2025-07-16 15:38:45
UIS,Unisys Corporation,2025-06-27 to 2025-07-25,19,0.403868125614367,0.39564317464402154,0.4033026337623596,0.403868125614367,0.42105263157894735,0.0,2025-07-25 16:31:00
IMCR,Immunocore Holdings plc,2025-06-30 to 2025-07-01,2,0.37381305098533635,0.01225282221728096,,0.37381305098533635,0.5,0.0,2025-07-01 16:50:00
KELYA,Kelly Services Inc.,2025-06-30 to 2025-07-24,7,0.36450765132904056,0.4180712623491793,0.0,0.36450765132904056,0.2857142857142857,0.14285714285714285,2025-07-24 13:30:00
GPCR,Structure Therapeutics Inc.,2025-07-03 to 2025-07-03,1,0.35510609149932865,,,0.35510609149932865,1.0,0.0,2025-07-03 17:09:10
MATV,Mativ Holdings Inc.,2025-07-10 to 2025-07-24,3,0.3441527883211772,0.44939198176888917,0.17989259958267206,0.3441527883211772,0.3333333333333333,0.3333333333333333,2025-07-24 13:49:04
IMVT,Immunovant Inc.,2025-07-06 to 2025-07-16,4,0.33641338646411895,0.3969627951850705,,0.33641338646411895,0.25,0.0,2025-07-16 18:00:02
CDE,Coeur Mining Inc.,2025-06-29 to 2025-07-25,32,0.3342647274956107,0.5547478432860168,0.5893271318503788,0.3342647274956107,0.46875,0.15625,2025-07-25 00:01:02
CLS,CELESTICA INC.,2025-06-27 to 2025-07-24,31,0.33316219929725893,0.30730501292481216,0.2483608782291412,0.33316219929725893,0.22580645161290322,0.0,2025-07-24 15:19:00
BIIB,Biogen Inc.,2025-06-27 to 2025-07-25,50,0.33033955574035645,0.49839223628001794,0.41431696840694976,0.33033955574035645,0.46,0.08,2025-07-25 13:20:00
NX,Quanex Building Products Corporation,2025-06-27 to 2025-07-24,9,0.3210811495780945,0.338854003647786,0.3012251178423564,0.3210811495780945,0.2222222222222222,0.0,2025-07-24 16:16:42
CCJ, cameco Corp,2025-06-27 to 2025-07-24,22,0.3112946515733545,0.3374089268466232,0.3537901878356934,0.3112946515733545,0.22727272727272727,0.045454545454545456,2025-07-24 04:23:34
SMP,Standard Motor Products Inc.,2025-06-27 to 2025-07-24,17,0.3003897148020127,0.43102426570489066,-0.023925705750783306,0.3003897148020127,0.29411764705882354,0.35294117647058826,2025-07-24 14:10:02
SMCI,Super Micro Computer Inc.,2025-06-27 to 2025-07-26,160,0.29633304350078105,0.45722167582930684,0.3362739430155073,0.3000840946843353,0.2875,0.1125,2025-07-26 14:56:40
KINS,Kingstone Companies Inc.,2025-06-27 to 2025-07-23,18,0.29274385041660733,0.3480740556156878,0.9382153868675231,0.29274385041660733,0.3888888888888889,0.0,2025-07-23 07:59:05
NESR,National Energy Services Reunited Corp.,2025-06-30 to 2025-07-24,29,0.28256309566826654,0.34068479263983786,0.5741879224777221,0.28256309566826654,0.3448275862068966,0.0,2025-07-24 02:20:00
SLVM,Sylvamo Corporation,2025-06-30 to 2025-07-16,6,0.28241731226444244,0.26595075230402704,,0.28241731226444244,0.3333333333333333,0.0,2025-07-16 04:39:45
HQY,HealthEquity Inc.,2025-06-27 to 2025-07-27,12,0.2698951373497645,0.39392400643881215,0.12657292683919272,0.2698951373497645,0.3333333333333333,0.08333333333333333,2025-07-27 06:55:00
AXON,Axon Enterprise Inc.,2025-06-27 to 2025-07-27,42,0.2651687088466826,0.5289114277193467,-0.06806411643822989,0.2651687088466826,0.30952380952380953,0.07142857142857142,2025-07-27 00:15:00
SNDX,Syndax Pharmaceuticals Inc.,2025-06-30 to 2025-07-09,8,0.2631534025073051,0.3247721382348515,,0.2631534025073051,0.375,0.0,2025-07-09 06:55:02
PMTS,CPI Card Group Inc.,2025-07-01 to 2025-07-16,5,0.2596175456047058,0.25794097445466807,,0.2596175456047058,0.0,0.2,2025-07-16 19:44:31
CG,Centerra Gold Inc.,2025-06-30 to 2025-07-24,26,0.25737881110264704,0.38147520621753556,0.1995477572083473,0.25737881110264704,0.3076923076923077,0.0,2025-07-24 21:31:16
MANH,MANHATTAN ASSOCIATES INC.,2025-07-02 to 2025-07-25,26,0.2563103891336001,0.47516938905008255,0.35062824277316823,0.2563103891336001,0.34615384615384615,0.07692307692307693,2025-07-25 15:26:13
CMPS,COMPASS Pathways plc,2025-06-27 to 2025-07-15,9,0.25315987931357486,0.3596866602397231,,0.25315987931357486,0.1111111111111111,0.0,2025-07-15 22:58:48
QUAD,Quad/Graphics Inc.,2025-07-09 to 2025-07-23,4,0.2511096209287643,0.5583695598708988,0.25601879358291624,0.2511096209287643,0.25,0.0,2025-07-23 14:45:00
ADV,Advantage Solutions Inc.,2025-06-27 to 2025-07-25,6,0.25047013560930886,0.35918471688158105,0.45982428193092345,0.25047013560930886,0.5,0.0,2025-07-25 18:44:00
TWLO,Twilio Inc.,2025-06-28 to 2025-07-25,40,0.2488111355900764,0.40798658948665006,0.5256025576591491,0.2488111355900764,0.225,0.125,2025-07-25 10:17:00
TCOM,Trip.com Group Limited,2025-06-27 to 2025-07-16,14,0.24388485636029927,0.31646105738679825,,0.24388485636029927,0.2857142857142857,0.07142857142857142,2025-07-16 00:15:03
MNMD,Mind Medicine (MindMed) Inc.,2025-06-27 to 2025-07-25,12,0.22916332284609475,0.30821074832442164,0.20267342627048493,0.22916332284609475,0.25,0.0,2025-07-25 15:40:02
ZM,Zoom Video Communications Inc.,2025-06-27 to 2025-07-24,23,0.22755846925403758,0.46786983932782206,0.12470561265945436,0.2650860477577556,0.34782608695652173,0.08695652173913043,2025-07-24 14:00:00
ARDT,Ardent Health Inc.,2025-06-27 to 2025-07-23,5,0.22537050724029545,0.20578223263654483,0.18915531635284424,0.22537050724029545,0.4,0.0,2025-07-23 15:09:11
SNPS,SYNOPSYS INC.,2025-06-27 to 2025-07-24,127,0.2241416906277964,0.4607852631500215,0.4508464455604553,0.22617607528255096,0.29133858267716534,0.1889763779527559,2025-07-24 21:26:56
MRVL,Marvell Technology Inc.,2025-06-27 to 2025-07-26,75,0.22326765092213946,0.419943989532779,0.127313876693899,0.22326765092213946,0.28,0.08,2025-07-26 23:15:00
PFGC,Performance Food Group Company,2025-06-30 to 2025-07-27,23,0.21907010078430172,0.570243770831897,0.13285472095012665,0.21907010078430172,0.34782608695652173,0.13043478260869565,2025-07-27 06:35:00
