action,symbol,current_value,stop_price,reason,strategy,strategy_name,trim_amount,investment_amount,current_price,trailing_stop_pct
SET_STOP_LOSS,CLS,3508.6040000000003,3227.9156800000005,Protect 76.5% gain,Strategy_1,Conservative Risk Management,,,,
SET_STOP_LOSS,OGC,3135.3410000000003,2884.5137200000004,Protect 45.2% gain,Strategy_1,Conservative Risk Management,,,,
SET_STOP_LOSS,NVDA,8475.896,7797.824320000001,Protect 25.1% gain,Strategy_1,Conservative Risk Management,,,,
SELL,TSLA,2990.3500000000004,,Tax loss harvest: -31.6% loss,Strategy_1,Conservative Risk Management,,,,
SELL,VERA,2043.1730000000002,,Tax loss harvest: -33.8% loss,Strategy_1,Conservative Risk Management,,,,
TRIM,ASML,,,Rebalance to standard position size,Strategy_1,Conservative Risk Management,1330.8000000000002,,,
BUY,CDE,,,"Sharpe: 1.53, Upside: 23.6%",Strategy_1,Conservative Risk Management,,2000.0,9.279999732971191,
BUY,CVS,,,"Sharpe: 0.59, Upside: 30.8%",Strategy_1,Conservative Risk Management,,2000.0,60.70000076293945,
SET_TRAILING_STOP,CLS,3508.6040000000003,,Let winner run with trailing stop,Strategy_2,Growth-Focused Optimization,,,,0.12
SET_TRAILING_STOP,OGC,3135.3410000000003,,Let winner run with trailing stop,Strategy_2,Growth-Focused Optimization,,,,0.12
SET_TRAILING_STOP,NVDA,8475.896,,Let winner run with trailing stop,Strategy_2,Growth-Focused Optimization,,,,0.12
SELL,TSLA,2990.3500000000004,,Cut losses: -31.6%,Strategy_2,Growth-Focused Optimization,,,,
SELL,VERA,2043.1730000000002,,Cut losses: -33.8%,Strategy_2,Growth-Focused Optimization,,,,
BUY,CDE,,,"Growth play: 23.6% upside, Score: 0.71",Strategy_2,Growth-Focused Optimization,,2000.0,9.279999732971191,
BUY,AVGO,,,"Growth play: 0.4% upside, Score: 0.62",Strategy_2,Growth-Focused Optimization,,2000.0,290.17999267578125,
BUY,AXON,,,"Growth play: 4.6% upside, Score: 0.37",Strategy_2,Growth-Focused Optimization,,2000.0,735.010009765625,
BUY,COUR,,,"Growth play: -3.3% upside, Score: 0.36",Strategy_2,Growth-Focused Optimization,,2000.0,12.369999885559082,
BUY,CVS,,,"Growth play: 30.8% upside, Score: 0.36",Strategy_2,Growth-Focused Optimization,,2000.0,60.70000076293945,
BUY,AMTM,,,"Growth play: 2.0% upside, Score: 0.33",Strategy_2,Growth-Focused Optimization,,2000.0,25.59000015258789,
