ticker,company,current_price,target_median,target_mean,target_low,target_high,num_analysts,recommendation,week_return,volume,avg_volume,market_cap,beta,timestamp,potential_return
AAPL,Apple Inc.,243.595,257.5,252.22575,197.0,325.0,40,buy,7.0041764778035365,13481736,50559971,3659308466176,1.24,2025-02-14 16:50:36,5.708245243128965
AMZN,Amazon.com Inc.,227.8396,270.0,266.45642,207.0,306.0,64,strong_buy,-2.2734836553786053,8942499,36551826,2414575616000,1.146,2025-02-14 16:50:36,18.50442153163893
GOOGL,Alphabet Inc.,185.27,220.0,217.72063,151.0,240.0,48,buy,-0.6435335123003982,6128705,28917791,2267964243968,1.034,2025-02-14 16:50:36,18.745614508555075
JNJ,Johnson & Johnson,156.77,166.0,168.64,150.0,190.0,21,buy,1.6402999800262608,1199814,8747073,377442598912,0.518,2025-02-14 16:50:36,5.887606047075327
JPM,JPMorgan Chase & Co.,278.325,273.0,266.97668,180.51,330.0,21,buy,2.6877964257818965,1469784,8941028,778642063360,1.091,2025-02-14 16:50:36,-1.913230935057932
META,Meta Platforms Inc.,730.67,772.5,759.80383,505.0,935.0,60,strong_buy,1.8504269483052393,4647082,13735661,1851269185536,1.215,2025-02-14 16:50:36,5.724882641958756
MSFT,Microsoft Corporation,406.97,500.0,508.051,420.0,650.0,50,strong_buy,-1.2735917676127362,8157138,21796441,3025406787584,0.904,2025-02-14 16:50:36,22.85917880924883
NVDA,NVIDIA Corporation,137.67,175.0,172.08,120.0,220.0,54,strong_buy,3.069544523400758,70092210,245162391,3371538317312,1.657,2025-02-14 16:50:36,27.11556620905064
TSLA,Tesla Inc.,351.8399,359.0,343.57977,135.0,550.0,42,hold,0.31645247457063874,28197791,82621266,1131700027392,2.295,2025-02-14 16:50:36,2.0350449167362767
V,Visa Inc.,354.9155,385.0,371.72833,289.0,400.0,36,buy,1.2193366413189022,2232049,6032266,684635586560,0.952,2025-02-14 16:50:36,8.476524693906011
