ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
RCKT,Rocket Pharmaceuticals Inc.,2025-02-12 to 2025-02-12,1,0.7664503693580628,,,0.7664503693580628,1.0,0.0,2025-02-12 16:40:12
PACS,PACS Group Inc.,2025-03-05 to 2025-03-05,2,0.4765419781208038,0.017472035055779014,0.4765419781208038,0.4765419781208038,0.0,0.0,2025-03-05 22:29:00
GPCR,Structure Therapeutics Inc.,2025-02-13 to 2025-02-13,1,0.4168938875198364,,,0.4168938875198364,0.0,0.0,2025-02-13 09:54:00
BRZE,Braze Inc.,2025-02-25 to 2025-03-06,2,0.35768661499023435,0.5058452619985131,0.0,0.35768661499023435,0.5,0.0,2025-03-06 17:01:04
TWLO,Twilio Inc.,2025-02-11 to 2025-03-09,16,0.35023841410875317,0.49277761498914396,0.5074375987052917,0.35023841410875317,0.4375,0.0625,2025-03-09 09:08:00
CLDX,Celldex Therapeutics Inc.,2025-02-10 to 2025-03-04,4,0.2957498788833618,0.44574119034750864,0.3943331718444824,0.2957498788833618,0.5,0.0,2025-03-04 09:03:26
PRU,Prudential Financial Inc.,2025-02-07 to 2025-03-09,29,0.27405498582741317,0.6047998863725327,0.2825924830003218,0.3137779003807477,0.4482758620689655,0.13793103448275862,2025-03-09 10:00:00
DAR,DARLING INGREDIENTS INC.,2025-02-18 to 2025-02-21,8,0.26068031042814255,0.22092127610597323,,0.26068031042814255,0.125,0.0,2025-02-21 07:47:56
IDYA,IDEAYA Biosciences Inc.,2025-02-10 to 2025-03-03,9,0.2563222527503967,0.2927934060962954,0.36521301269531253,0.2563222527503967,0.2222222222222222,0.1111111111111111,2025-03-03 07:01:07
IMCR,Immunocore Holdings plc,2025-02-17 to 2025-03-03,7,0.2512681978089469,0.2602718270419626,0.356619393825531,0.2512681978089469,0.14285714285714285,0.0,2025-03-03 08:00:04
IMVT,Immunovant Inc.,2025-02-21 to 2025-02-27,2,0.19110052585601808,0.27025695544221107,,0.19110052585601808,0.5,0.0,2025-02-27 12:58:00
TRVG,trivago N.V.,2025-02-23 to 2025-02-23,1,0.18802727460861207,,,0.18802727460861207,0.0,1.0,2025-02-23 11:07:41
TNC,Tennant Company,2025-02-18 to 2025-03-08,7,0.1609931264604841,0.41417702196590234,-0.16342116594314574,0.1609931264604841,0.14285714285714285,0.0,2025-03-08 01:36:57
MTDR,MATADOR RESOURCES COMPANY,2025-02-10 to 2025-03-05,11,0.15390346483750775,0.432469811132321,-0.291826182603836,0.15390346483750775,0.18181818181818182,0.0,2025-03-05 22:39:00
CVE,Cenovus Energy Inc.,2025-02-15 to 2025-03-06,7,0.14678171191896713,0.6165363355436035,0.8703453540802002,0.14678171191896713,0.42857142857142855,0.2857142857142857,2025-03-06 20:43:12
SPB,Superior Plus Corp.,2025-02-07 to 2025-02-08,6,0.14132479031880696,0.346173624286901,,0.0,0.16666666666666666,0.0,2025-02-08 00:29:05
LVO,LiveOne Inc.,2025-02-14 to 2025-02-28,6,0.13833445707956948,0.3388488336898852,,0.13833445707956948,0.16666666666666666,0.0,2025-02-28 08:01:05
DBRG,DIGITALBRIDGE GROUP INC.,2025-02-20 to 2025-03-03,4,0.11616651713848114,0.23233303427696228,0.0,0.11616651713848114,0.0,0.0,2025-03-03 12:19:45
HQY,HealthEquity Inc.,2025-02-07 to 2025-03-05,8,0.10737426877021787,0.42061262566493796,0.1244454264640808,0.08254294395446779,0.125,0.0,2025-03-05 22:29:00
DVN,Devon Energy Corporation,2025-02-10 to 2025-03-08,36,0.10623426735401154,0.4608918423474696,0.10716398102896554,0.10623426735401154,0.1388888888888889,0.1388888888888889,2025-03-08 23:30:35
INSW,International Seaways Inc.,2025-02-12 to 2025-03-05,8,0.10119254291057588,0.2773271174331213,-0.24773631095886228,0.10119254291057588,0.125,0.0,2025-03-05 10:47:10
SHOP,Shopify Inc.,2025-02-07 to 2025-03-07,46,0.10032039530899213,0.4096492528375905,0.2801890446080102,0.09876474399458278,0.2391304347826087,0.06521739130434782,2025-03-07 05:35:00
UTZ,Utz Brands Inc.,2025-02-20 to 2025-03-07,8,0.09983358532190323,0.18486470001133304,0.13198531866073607,0.09983358532190323,0.0,0.0,2025-03-07 13:59:34
MA,Mastercard Incorporated,2025-02-07 to 2025-03-07,72,0.07667807026041878,0.3535276596765239,0.23275027374426524,0.0674067911894425,0.19444444444444445,0.06944444444444445,2025-03-07 17:02:04
PFGC,Performance Food Group Company,2025-02-07 to 2025-03-06,3,0.06911483208338416,0.43559838894969305,0.535138714313507,0.06911483208338416,0.0,0.3333333333333333,2025-03-06 23:01:00
MDXG,MiMedx Group Inc.,2025-02-26 to 2025-02-27,5,0.0675905179977417,0.28813067829844574,,0.0675905179977417,0.0,0.2,2025-02-27 09:02:04
UPWK,Upwork Inc.,2025-02-12 to 2025-02-18,6,0.06272077957789103,0.15363390623540873,,0.06272077957789103,0.16666666666666666,0.0,2025-02-18 17:04:04
HAL,Halliburton Company,2025-02-07 to 2025-03-06,9,0.058037771119011775,0.7805527585727555,0.30431052049001056,0.06529249250888824,0.3333333333333333,0.3333333333333333,2025-03-06 18:06:00
BIIB,Biogen Inc.,2025-02-10 to 2025-03-07,30,0.055136425097783416,0.5459677317753402,0.1327890658378601,0.055136425097783416,0.3333333333333333,0.13333333333333333,2025-03-07 10:40:00
AMTM,Amentum Holdings Inc.,2025-02-21 to 2025-03-05,5,0.050125977993011474,0.403724897517635,0.4785855174064636,0.050125977993011474,0.2,0.0,2025-03-05 09:16:03
AVGO,Broadcom Inc.,2025-02-07 to 2025-03-09,227,0.0335083146189803,0.49503486442797295,0.007706219325830906,0.04038025198179647,0.18061674008810572,0.15418502202643172,2025-03-09 11:30:00
ARCO,Arcos Dorados Holdings Inc.,2025-02-16 to 2025-03-07,6,0.024949675798416133,0.2431219488329166,0.0374245136976242,0.024949675798416133,0.0,0.0,2025-03-07 18:09:23
UAL,United Airlines Holdings Inc.,2024-12-17 to 2025-03-08,50,0.01719174015522003,0.4994754620222971,-0.3050482315676553,0.01790806266168753,0.1,0.22,2025-03-08 12:00:00
MRVL,Marvell Technology Inc.,2025-02-07 to 2025-03-09,84,0.014355574832076121,0.4899415612252516,-0.07907898128032682,0.02188883610518582,0.16666666666666666,0.21428571428571427,2025-03-09 11:30:00
MDLZ,Mondelez International Inc.,2025-02-08 to 2025-03-05,26,0.013133624883798451,0.48974387238091155,0.31014418601989746,0.013133624883798451,0.15384615384615385,0.11538461538461539,2025-03-05 17:41:00
CLS,CELESTICA INC.,2025-02-07 to 2025-03-09,12,0.012731175621350635,0.41533902289552643,0.6388519763946534,0.04450825019316243,0.16666666666666666,0.25,2025-03-09 12:59:36
WELL,WELL Health Technologies Corp.,2025-02-07 to 2025-03-09,40,0.0122129973769188,0.4745283101252305,0.038023157303149896,0.015843586231532855,0.1,0.15,2025-03-09 10:00:00
CHMI,Cherry Hill Mortgage Investment Corporation,2025-02-14 to 2025-03-06,8,0.0092963732779026,0.13964089605996483,-0.037011039257049565,0.0092963732779026,0.0,0.125,2025-03-06 21:35:04
MNMD,Mind Medicine (MindMed) Inc.,2025-02-20 to 2025-03-06,6,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-06 13:10:34
CRNX,CRINETICS PHARMACEUTICALS INC.,2025-02-20 to 2025-02-28,3,0.0,0.0,,0.0,0.0,0.0,2025-02-28 14:01:04
CMPS,COMPASS Pathways plc,2025-02-25 to 2025-03-02,7,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-02 18:59:05
HBM,Hudbay Minerals Inc.,2025-02-13 to 2025-02-19,3,0.0,0.0,,0.0,0.0,0.0,2025-02-19 16:30:19
TX,Ternium S.A.,2025-02-18 to 2025-02-20,5,0.0,0.0,,0.0,0.0,0.0,2025-02-20 07:48:32
RARE,ULTRAGENYX PHARMACEUTICAL INC.,2025-02-11 to 2025-02-24,5,0.0,0.0,,0.0,0.0,0.0,2025-02-24 17:31:03
