symbol,action,current_value,target_value,trade_value,rationale,stop_loss
CCJ,SELL,2033,0,-2033,Exit position: Not in optimal portfolio allocation,
CLS,SELL,3190,0,-3190,Exit position: Not in optimal portfolio allocation,
OGC,SELL,2850,0,-2850,Exit position: Not in optimal portfolio allocation,
ASML,SELL,3028,0,-3028,Exit position: Not in optimal portfolio allocation,
AAPL,SELL,4204,0,-4204,Exit position: Not in optimal portfolio allocation,
CVNA,SELL,1979,0,-1979,Exit position: Not in optimal portfolio allocation,
LFST,SELL,1763,0,-1763,Exit position: Not in optimal portfolio allocation,
SPGI,SELL,1823,0,-1823,Exit position: Not in optimal portfolio allocation,
CRM,SELL,1834,0,-1834,Exit position: Not in optimal portfolio allocation,
TSLA,SELL,2718,0,-2718,Exit position: Not in optimal portfolio allocation,
VERA,SELL,1857,0,-1857,Exit position: Not in optimal portfolio allocation,
CLDX,SELL,1989,0,-1989,Exit position: Not in optimal portfolio allocation,
NVDA,SELL,7705,0,-7705,Exit position: Not in optimal portfolio allocation,
PRU,ADD,1792,4518,2725,Increase position: Strong fundamentals warrant larger allocation,-0.15
RCI,BUY,0,9753,9753,New position: High integrated score with positive fundamentals,-0.15
TNC,BUY,0,9254,9254,New position: High integrated score with positive fundamentals,-0.15
PHX,BUY,0,8692,8692,New position: High integrated score with positive fundamentals,-0.15
ARDT,BUY,0,7578,7578,New position: High integrated score with positive fundamentals,-0.15
HRTG,BUY,0,4922,4922,New position: High integrated score with positive fundamentals,-0.15
DDOG,BUY,0,3603,3603,New position: High integrated score with positive fundamentals,-0.15
MAX,BUY,0,447,447,New position: High integrated score with positive fundamentals,-0.15
