symbol,value_score,growth_score,quality_score,analyst_score,composite_score,sentiment_normalized,behavioral_composite,fundamental_weighted,behavioral_weighted,market_score,market_weighted,integrated_score,sector,sector_relative_integrated,risk_adjusted_score
MAX,0.2238219895287957,0.3174,0.6566650055010774,0.6518382352941176,0.4410304952927316,0.5021274603903294,0.5014892222732306,0.3087213467049121,0.10029784445464612,0.5,0.05,0.4590191911595582,Communication Services,0.5,0.4590191911595582
RCI,0.4764397905759162,0.1048,0.6138733239589995,0.5268814466783217,0.4279765574981891,0.5451361361302828,0.5315952952911979,0.2995835902487323,0.10631905905823957,0.5,0.05,0.4559026493069719,Communication Services,0.25,0.4559026493069719
XPO,0.1740837696335078,0.2007999999999999,0.5485201235066981,0.4,0.3195551617667269,0.5568786122969218,0.5398150286078452,0.2236886132367088,0.10796300572156906,0.5,0.05,0.38165161895827787,Industrials,0.2,0.38165161895827787
NX,0.4306282722513088,0.3314,0.5920228015932882,0.6963383838383839,0.4993118588413915,0.6605405747890473,0.6123784023523331,0.34951830118897403,0.12247568047046663,0.5,0.05,0.5219939816594407,Industrials,1.0,0.5219939816594407
DDOG,0.0,0.1658,0.7799895988152773,0.4004671649759743,0.3165408326990142,0.5669864392280578,0.5468905074596404,0.2215785828893099,0.10937810149192809,0.5,0.05,0.380956684381238,Technology,0.3333333333333333,0.380956684381238
TNC,0.3324607329842931,0.0864,0.694564390762914,0.6810800604229608,0.4311953296706086,0.2768687353684352,0.3438081147579046,0.30183673076942596,0.06876162295158093,0.5,0.05,0.4205983537210069,Industrials,0.4,0.4205983537210069
PHX,0.4280104712041884,0.2017999999999999,0.88350876691692,0.5,0.4997303330904865,0.5,0.5,0.3498112331633405,0.1,0.5,0.05,0.4998112331633405,Energy,0.3333333333333333,0.4998112331633405
CRNT,0.6845549738219894,0.1004,0.7350097522692538,0.75,0.5642189302139102,0.5,0.5,0.3949532511497371,0.1,0.5,0.05,0.5449532511497371,Technology,1.0,0.5449532511497371
PRU,0.4424083769633507,0.0402,0.5763866057573429,0.335263995817888,0.3539219636919185,0.5163635434775516,0.5114544804342861,0.24774537458434293,0.10229089608685722,0.5,0.05,0.4000362706712001,Financial Services,0.16666666666666666,0.4000362706712001
BHVN,0.3298429319371727,0.0,0.2,0.75,0.2989528795811518,0.7224954962730408,0.6557468473911285,0.20926701570680625,0.13114936947822572,0.5,0.05,0.39041638518503197,Healthcare,0.2,0.39041638518503197
ARDT,0.6060209424083769,0.2784,0.6980943676805607,0.7875452079566003,0.5834389162339733,0.6126852536201477,0.5788796775341034,0.40840724136378126,0.11577593550682069,0.5,0.05,0.574183176870602,Healthcare,1.0,0.574183176870602
HRTG,0.6623036649214659,0.444,0.6737324150605741,0.812840136054422,0.6406922304524677,0.784662766116006,0.6992639362812042,0.44848456131672737,0.13985278725624084,0.5,0.05,0.6383373485729682,Financial Services,0.8333333333333334,0.6383373485729682
ARX,1.0,0.2508,0.7864906624046931,0.5,0.6593226656011733,0.5052229622999826,0.5036560736099879,0.46152586592082123,0.10073121472199759,0.5,0.05,0.6122570806428189,Financial Services,0.6666666666666666,0.6122570806428189
CC,0.2408376963350785,0.1008,0.5086805202581332,0.4476799576570219,0.3141574304964612,0.23371141050991262,0.3135979873569388,0.21991020134752284,0.06271959747138776,0.5,0.05,0.3326297988189106,Basic Materials,1.0,0.3326297988189106
